Data,Non indicizzate,Indicizzate,Impressioni
2026-04-21,,,65
2026-04-22,,,60
2026-04-23,,,55
2026-04-24,1018,235,58
2026-04-25,1019,169,52
2026-04-26,1019,169,45
2026-04-27,1019,169,37
2026-04-28,998,157,47
2026-04-29,998,157,73
2026-04-30,998,157,30
2026-05-01,998,157,37
2026-05-02,999,147,37
2026-05-03,999,147,27
2026-05-04,999,147,54
2026-05-05,938,151,41
2026-05-06,938,151,51
2026-05-07,938,151,65
2026-05-08,938,151,38
2026-05-09,859,153,38
2026-05-10,859,153,50
2026-05-11,859,153,50
2026-05-12,727,155,60
2026-05-13,727,155,56
2026-05-14,727,155,51
2026-05-15,727,155,45
2026-05-16,715,155,42
2026-05-17,715,155,48
2026-05-18,715,155,50
2026-05-19,707,155,57
2026-05-20,707,155,58
2026-05-21,707,155,51
2026-05-22,707,155,51
2026-05-23,703,157,70
2026-05-24,703,157,31
2026-05-25,703,157,47
2026-05-26,694,158,47
2026-05-27,694,158,43
2026-05-28,694,158,54
2026-05-29,694,158,61
2026-05-30,679,157,29
2026-05-31,679,157,38
2026-06-01,679,157,48
2026-06-02,669,157,36
2026-06-03,669,157,48
2026-06-04,669,157,49
2026-06-05,669,157,40
2026-06-06,662,157,51
2026-06-07,662,157,44
2026-06-08,662,157,48
2026-06-09,660,157,75
2026-06-10,660,157,55
2026-06-11,660,157,97
2026-06-12,660,157,39
2026-06-13,452,160,33
2026-06-14,452,160,37
2026-06-15,452,160,53
2026-06-16,452,160,53
2026-06-17,452,160,44
2026-06-18,452,160,56
2026-06-19,452,160,37
2026-06-20,452,160,44
2026-06-21,452,160,46
2026-06-22,452,160,46
2026-06-23,452,160,44
2026-06-24,452,160,44
2026-06-25,452,160,53
2026-06-26,452,160,45
2026-06-27,452,160,42
2026-06-28,452,160,52
2026-06-29,452,160,56
2026-06-30,452,160,48
2026-07-01,531,255,47
2026-07-02,531,255,55
2026-07-03,531,255,48
2026-07-04,531,255,37
2026-07-05,531,255,45
2026-07-06,531,255,37
2026-07-07,531,255,47
2026-07-08,531,255,37
2026-07-09,531,255,55
2026-07-10,531,255,34
