Data,Clic,Impressioni,CTR,Posizione
2026-01-16,1,621,0.16%,8.2
2026-01-17,2,50,4%,19.8
2026-01-18,5,41,12.2%,8.9
2026-01-19,3,82,3.66%,10.6
2026-01-20,2,188,1.06%,16
2026-01-21,1,312,0.32%,8.1
2026-01-22,2,506,0.4%,8.8
2026-01-23,2,221,0.9%,9.5
2026-01-24,1,304,0.33%,7.8
2026-01-25,1,527,0.19%,7.9
2026-01-26,4,389,1.03%,7.4
2026-01-27,0,564,0%,7.5
2026-01-28,0,236,0%,8.4
2026-01-29,5,372,1.34%,7.7
2026-01-30,5,333,1.5%,7.9
2026-01-31,0,332,0%,8.3
2026-02-01,0,617,0%,8.1
2026-02-02,2,603,0.33%,8
2026-02-03,3,233,1.29%,8.5
2026-02-04,2,224,0.89%,7.6
2026-02-05,2,103,1.94%,10.3
2026-02-06,2,149,1.34%,8.8
2026-02-07,2,106,1.89%,8.7
2026-02-08,1,240,0.42%,8.2
2026-02-09,0,94,0%,10.5
2026-02-10,7,86,8.14%,12.6
2026-02-11,2,71,2.82%,10
2026-02-12,1,60,1.67%,16.9
2026-02-13,3,91,3.3%,10.9
2026-02-14,1,56,1.79%,10.7
2026-02-15,3,61,4.92%,9.7
2026-02-16,1,56,1.79%,7.9
2026-02-17,4,67,5.97%,10.1
2026-02-18,1,80,1.25%,10.2
2026-02-19,0,70,0%,10.4
2026-02-20,2,46,4.35%,10.7
2026-02-21,2,47,4.26%,12.8
2026-02-22,0,43,0%,10.4
2026-02-23,1,83,1.2%,15.1
2026-02-24,3,71,4.23%,13.4
2026-02-25,4,78,5.13%,13.2
2026-02-26,3,94,3.19%,11.9
2026-02-27,3,76,3.95%,15.9
2026-02-28,2,54,3.7%,18
2026-03-01,2,47,4.26%,14.2
2026-03-02,2,95,2.11%,8
2026-03-03,3,52,5.77%,9.4
2026-03-04,1,70,1.43%,7.4
2026-03-05,2,44,4.55%,6.4
2026-03-06,0,31,0%,10.1
2026-03-07,4,125,3.2%,14.6
2026-03-08,2,205,0.98%,10.9
2026-03-09,2,196,1.02%,7.9
2026-03-10,1,263,0.38%,7.6
2026-03-11,5,169,2.96%,11.9
2026-03-12,2,176,1.14%,12
