Paese,Clic,Impressioni,CTR,Posizione
Stati Uniti,38,5241,0.73%,7.81
Germania,37,872,4.24%,9.8
Italia,35,368,9.51%,7.75
Regno Unito,33,5211,0.63%,24.25
Lettonia,28,145,19.31%,4.84
Romania,26,584,4.45%,5.02
Moldavia,16,70,22.86%,3.91
Polonia,13,107,12.15%,9.08
Canada,11,350,3.14%,8.15
Spagna,10,264,3.79%,8.66
Svizzera,10,235,4.26%,10.4
Portogallo,10,180,5.56%,7.58
Francia,9,327,2.75%,8.65
Paesi Bassi,9,216,4.17%,7.42
Hong Kong,6,19,31.58%,4.26
Svezia,5,75,6.67%,7.64
Norvegia,5,28,17.86%,5.61
Israele,4,41,9.76%,8.17
Estonia,3,229,1.31%,5.65
Indonesia,3,73,4.11%,11.88
Tailandia,3,28,10.71%,9.75
Nuova Zelanda,3,21,14.29%,8.33
Croazia,3,20,15%,8.25
Brasile,2,278,0.72%,7.45
Sudafrica,2,158,1.27%,8.08
Austria,2,130,1.54%,12.07
Australia,2,128,1.56%,8.64
Belgio,2,125,1.6%,7.7
Ucraina,2,26,7.69%,6.96
India,1,165,0.61%,12.63
Messico,1,68,1.47%,7.41
Grecia,1,50,2%,10.02
Irlanda,1,41,2.44%,7.32
Turchia,1,39,2.56%,13
Pakistan,1,38,2.63%,12.32
Cina,1,35,2.86%,6.86
Danimarca,1,29,3.45%,11.66
Bulgaria,1,20,5%,5.35
Serbia,1,19,5.26%,4.95
Albania,1,19,5.26%,8.05
Cipro,1,14,7.14%,6.43
Georgia,1,7,14.29%,6
Liechtenstein,1,7,14.29%,6.86
Tanzania,1,7,14.29%,9.71
Filippine,0,94,0%,11.74
Argentina,0,85,0%,7.79
Emirati Arabi Uniti,0,75,0%,9.91
Vietnam,0,50,0%,13.5
Corea del Sud,0,47,0%,9.7
Trinidad e Tobago,0,45,0%,6.87
Cile,0,43,0%,7.91
Colombia,0,41,0%,12.37
Marocco,0,40,0%,9.57
Russia,0,37,0%,13.16
Algeria,0,33,0%,10.55
Giamaica,0,32,0%,7.41
Arabia Saudita,0,30,0%,13.03
Malaysia,0,27,0%,9.22
Portorico,0,26,0%,6.69
Nigeria,0,25,0%,7.28
Finlandia,0,25,0%,10.88
Ecuador,0,22,0%,9.64
Giappone,0,21,0%,6.38
Bangladesh,0,21,0%,15.81
Ungheria,0,20,0%,5.95
Perù,0,20,0%,7.8
Singapore,0,18,0%,6.22
Bahamas,0,17,0%,7.71
Repubblica Ceca,0,17,0%,11.24
Venezuela,0,17,0%,15.88
Lituania,0,15,0%,6.73
Tunisia,0,14,0%,7.64
Uruguay,0,14,0%,9.29
Lussemburgo,0,14,0%,21.36
Oman,0,13,0%,8.54
Repubblica Dominicana,0,12,0%,7.33
Egitto,0,12,0%,13.25
Iraq,0,11,0%,5.18
Slovenia,0,11,0%,6.73
Costa Rica,0,11,0%,6.91
Costa d'Avorio,0,10,0%,6.3
Kuwait,0,10,0%,8
Malta,0,9,0%,5.89
Qatar,0,9,0%,9
Paraguay,0,8,0%,6.38
Uganda,0,8,0%,7.12
